SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
587011051	0.854847	1.06319	0.934065	1.09146	0	1.01907	0.955412	0.000884029	1.11958	0	0	0	0.971426	0	0.979228	0.896229	1	0.987197	0	0.456653	0.405209	0.115401	0.393581	0.511447
588314051	0.983701	0.861359	0.81013	0.58192	0.417365	0.394311	0.957086	0	0.541426	0	0.418053	0	1.11054	0	1.06051	1.14016	1	1.07049	0	0.532018	0.433641	0.273839	0.505976	0.470526
589000356	0.629015	0.885989	0.73658	1.00505	0.384482	0.455263	0.77882	0.376203	0.780629	0	0.451196	0.371158	0.756879	0	0.909293	0.885491	1	0.792411	0	0.461411	0.472583	0.18181	0.358744	0.455023
58908011	1.26271	1.03866	0.955833	0.677701	1.02574	0.616058	1.54404	0.544403	0.504221	0	0.654324	0	1.134	0.298616	1.32334	1.11046	1	1.52636	0.472123	0.516401	0.434415	0.293144	0.618714	0.489027
590000426	1.01894	0.979384	0.827747	0.933779	0	0.865227	0.90753	0.000401071	0.985668	0	0	0	0.918741	0	0.852995	0.760929	1	0.959216	0	0.440303	0.413595	0.228061	0.406417	0.446659
591920071	0.912119	0.925223	0.91934	1.14383	0.48061	0.493694	0.943661	1.0849	1.11557	0.536536	0.555064	0.415155	0.550447	0.221263	0.535938	1.07218	1	0.899749	0.434763	0.459682	0.422316	0.288297	0.52961	0.464953
592911051	1.26918	0.924576	0.928216	1.0001	0	1.048	0.856152	0.00196247	1.11724	0	0	0	1.00888	0	1.06895	0.833828	1	0.902637	0	0.499214	0.518946	0.14459	0.460103	0.422155
593918082	1.30274	0.948141	1.0058	1.06983	0	1.00406	1.0163	0	1.04377	0	0	0	1.16905	0	1.1108	0.999634	1	1.03929	0	0.518919	0.528545	0.304426	0.411986	0.390937
594913051	0.992162	0.837218	0.884775	0.952152	0	0.966604	0.902165	0.00157876	0.879451	0	0	0	1.00286	0	0.928269	0.955438	1	0.764332	0	0.463598	0.389316	0.196233	0.477573	0.495594
595913111	1.02417	1.21755	1.02067	1.14931	0.585963	0.56392	1.10795	0.481112	1.30639	0	0.534125	0.572513	1.25777	0	1.35342	1.2306	1	1.30267	0	0.582575	0.585155	0.203134	0.530952	0.549706
59603011	1.23852	0.732015	1.11001	1.20738	0	1.1812	1.11982	0	1.27692	0	0	0	1.20454	0	1.18088	1.04522	1	1.03934	0	0.598448	0.47405	0.329035	0.571436	0.472682
