SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
348814061	41	28	27	18	17	15	37	17	24	10	18	0	24	0	20	41	36	28	20	0	0	0	0	0
34930051	44	47	41	44	0	50	67	24	48	19	0	0	21	0	37	56	47	65	51	0	0	0	0	0
349819101	32	24	21	36	22	15	27	11	23	0	17	15	30	0	31	29	28	26	0	0	0	0	0	0
350817072	44	50	47	33	19	33	46	0	37	0	17	0	48	0	41	49	51	50	0	0	0	0	0	0
351944071	31	21	24	36	26	0	31	40	26	13	29	47	0	0	31	18	29	27	16	0	0	0	0	0
352105011	54	41	51	33	24	32	47	0	23	0	27	0	48	0	44	56	52	55	0	0	0	0	0	0
353105031	25	27	27	28	12	14	26	19	41	0	14	11	24	0	33	29	28	36	0	0	0	0	0	0
354102051	21	22	29	28	15	13	20	28	23	14	15	13	13	0	18	27	19	23	13	0	0	0	0	0
355101021	43	19	23	28	0	25	45	11	33	12	0	0	15	0	30	21	28	41	35	0	0	0	0	0
357106041	30	26	22	35	0	29	25	0	35	0	0	0	32	0	27	26	24	29	0	0	0	0	0	0
358106042	40	42	37	56	23	21	49	24	43	0	22	23	52	0	41	46	44	49	0	0	0	0	0	0
359106051	35	37	38	24	16	23	41	0	14	0	20	0	47	0	26	42	37	38	0	0	0	0	0	0
360106052	46	51	54	37	19	27	27	46	27	34	28	0	0	0	0	45	54	27	21	0	0	0	0	0
36041011	34	22	17	47	17	16	31	29	29	21	14	16	16	0	20	38	37	32	15	0	0	0	0	0
361100250	39	21	26	26	0	30	26	0	49	0	0	0	31	0	29	34	23	36	0	0	0	0	0	0
362105011	51	50	43	52	22	20	41	42	52	23	20	43	21	0	34	30	45	46	24	0	0	0	0	0
363116101	34	41	34	46	20	19	32	35	32	18	15	22	20	0	29	34	34	30	19	0	0	0	0	0
