Sample	Gene	Ratio	Heterozygosis	Order
210800118	LILRB4	0.312523	heterozygosis: unknown	1
280905041	LILRB4	0.319000	heterozygosis: unknown	2
210800083	LILRB4	0.332360	heterozygosis: unknown	3
402000439	LILRB4	0.338354	heterozygosis: yes (1-2)	4
859630011	LILRB4	0.339432	heterozygosis: unknown	5
215712101	LILRB4	0.343065	heterozygosis: unknown	6
210800125	LILRB4	0.343295	heterozygosis: unknown	7
1083645101	LILRB4	0.344269	heterozygosis: unknown	8
210800137	LILRB4	0.349736	heterozygosis: unknown	9
271110101	LILRB4	0.350736	heterozygosis: unknown	10
172901102	LILRB4	0.351562	heterozygosis: unknown	11
827607111	LILRB4	0.353220	heterozygosis: yes (1-2)	12
828604051	LILRB4	0.357770	heterozygosis: yes (1-2)	13
589000356	LILRB4	0.358744	heterozygosis: unknown	14
1336507301	LILRB4	0.360598	heterozygosis: unknown	15
104116082	LILRB4	0.360757	heterozygosis: unknown	16
210800119	LILRB4	0.363135	heterozygosis: yes (1-2)	17
528900061	LILRB4	0.364543	heterozygosis: unknown	18
382019052	LILRB4	0.367490	heterozygosis: unknown	19
245309062	LILRB4	0.368951	heterozygosis: unknown	20
659404021	LILRB4	0.370513	heterozygosis: yes (1-2)	21
210800107	LILRB4	0.370802	heterozygosis: unknown	22
210800111	LILRB4	0.370971	heterozygosis: unknown	23
1277601601	LILRB4	0.373162	heterozygosis: unknown	24
615800019	LILRB4	0.373245	heterozygosis: unknown	25
682409091	LILRB4	0.373438	heterozygosis: unknown	26
329202012	LILRB4	0.373537	heterozygosis: unknown	27
1204538102	LILRB4	0.374449	heterozygosis: unknown	28
391400051	LILRB4	0.375315	heterozygosis: yes (1-2)	29
210800023	LILRB4	0.376193	heterozygosis: yes (1-2)	30
36041011	LILRB4	0.376350	heterozygosis: unknown	31
1187601202	LILRB4	0.376790	heterozygosis: unknown	32
835930011	LILRB4	0.377437	heterozygosis: yes (1-2)	33
376100111	LILRB4	0.378538	heterozygosis: yes (1-2)	34
316300122	LILRB4	0.378940	heterozygosis: yes (1-2)	35
413620032	LILRB4	0.379869	heterozygosis: unknown	36
1310570901	LILRB4	0.380179	heterozygosis: unknown	37
1161560701	LILRB4	0.380430	heterozygosis: yes (1-2)	38
323708051	LILRB4	0.380661	heterozygosis: unknown	39
1132140901	LILRB4	0.380920	heterozygosis: unknown	40
1244303302	LILRB4	0.382020	heterozygosis: yes (1-2)	41
